group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench atonce with size 1024,BLAKE2B,,,,10384.0,ns,8
bench atonce with size 1024,BLAKE2B,,,,20504.0,ns,16
bench atonce with size 1024,BLAKE2B,,,,30696.0,ns,24
bench atonce with size 1024,BLAKE2B,,,,40873.0,ns,32
bench atonce with size 1024,BLAKE2B,,,,70833.0,ns,40
bench atonce with size 1024,BLAKE2B,,,,97110.0,ns,48
bench atonce with size 1024,BLAKE2B,,,,71547.0,ns,56
bench atonce with size 1024,BLAKE2B,,,,101211.0,ns,64
bench atonce with size 1024,BLAKE2B,,,,151608.0,ns,72
bench atonce with size 1024,BLAKE2B,,,,170837.0,ns,80
bench atonce with size 1024,BLAKE2B,,,,112889.0,ns,88
bench atonce with size 1024,BLAKE2B,,,,122592.0,ns,96
bench atonce with size 1024,BLAKE2B,,,,132761.0,ns,104
bench atonce with size 1024,BLAKE2B,,,,143002.0,ns,112
bench atonce with size 1024,BLAKE2B,,,,153312.0,ns,120
bench atonce with size 1024,BLAKE2B,,,,163556.0,ns,128
bench atonce with size 1024,BLAKE2B,,,,173731.0,ns,136
bench atonce with size 1024,BLAKE2B,,,,183973.0,ns,144
bench atonce with size 1024,BLAKE2B,,,,236732.0,ns,152
bench atonce with size 1024,BLAKE2B,,,,367831.0,ns,160
bench atonce with size 1024,BLAKE2B,,,,252827.0,ns,168
bench atonce with size 1024,BLAKE2B,,,,226338.0,ns,176
bench atonce with size 1024,BLAKE2B,,,,237792.0,ns,184
bench atonce with size 1024,BLAKE2B,,,,303758.0,ns,192
bench atonce with size 1024,BLAKE2B,,,,313195.0,ns,200
bench atonce with size 1024,BLAKE2B,,,,270755.0,ns,208
bench atonce with size 1024,BLAKE2B,,,,277387.0,ns,216
bench atonce with size 1024,BLAKE2B,,,,288631.0,ns,224
bench atonce with size 1024,BLAKE2B,,,,387436.0,ns,232
bench atonce with size 1024,BLAKE2B,,,,308235.0,ns,240
bench atonce with size 1024,BLAKE2B,,,,358813.0,ns,248
bench atonce with size 1024,BLAKE2B,,,,464309.0,ns,256
bench atonce with size 1024,BLAKE2B,,,,464002.0,ns,264
bench atonce with size 1024,BLAKE2B,,,,494409.0,ns,272
bench atonce with size 1024,BLAKE2B,,,,395010.0,ns,280
bench atonce with size 1024,BLAKE2B,,,,435840.0,ns,288
bench atonce with size 1024,BLAKE2B,,,,635856.0,ns,296
bench atonce with size 1024,BLAKE2B,,,,588637.0,ns,304
bench atonce with size 1024,BLAKE2B,,,,398477.0,ns,312
bench atonce with size 1024,BLAKE2B,,,,408720.0,ns,320
bench atonce with size 1024,BLAKE2B,,,,487184.0,ns,328
bench atonce with size 1024,BLAKE2B,,,,431355.0,ns,336
bench atonce with size 1024,BLAKE2B,,,,441984.0,ns,344
bench atonce with size 1024,BLAKE2B,,,,591148.0,ns,352
bench atonce with size 1024,BLAKE2B,,,,586038.0,ns,360
bench atonce with size 1024,BLAKE2B,,,,469804.0,ns,368
bench atonce with size 1024,BLAKE2B,,,,535833.0,ns,376
bench atonce with size 1024,BLAKE2B,,,,503477.0,ns,384
bench atonce with size 1024,BLAKE2B,,,,513900.0,ns,392
bench atonce with size 1024,BLAKE2B,,,,524602.0,ns,400
bench atonce with size 1024,BLAKE2B,,,,534986.0,ns,408
bench atonce with size 1024,BLAKE2B,,,,545599.0,ns,416
bench atonce with size 1024,BLAKE2B,,,,555822.0,ns,424
bench atonce with size 1024,BLAKE2B,,,,566628.0,ns,432
bench atonce with size 1024,BLAKE2B,,,,647757.0,ns,440
bench atonce with size 1024,BLAKE2B,,,,587550.0,ns,448
bench atonce with size 1024,BLAKE2B,,,,711698.0,ns,456
bench atonce with size 1024,BLAKE2B,,,,609015.0,ns,464
bench atonce with size 1024,BLAKE2B,,,,619520.0,ns,472
bench atonce with size 1024,BLAKE2B,,,,629992.0,ns,480
bench atonce with size 1024,BLAKE2B,,,,640538.0,ns,488
bench atonce with size 1024,BLAKE2B,,,,652757.0,ns,496
bench atonce with size 1024,BLAKE2B,,,,661901.0,ns,504
bench atonce with size 1024,BLAKE2B,,,,673551.0,ns,512
bench atonce with size 1024,BLAKE2B,,,,682660.0,ns,520
bench atonce with size 1024,BLAKE2B,,,,693551.0,ns,528
bench atonce with size 1024,BLAKE2B,,,,704091.0,ns,536
bench atonce with size 1024,BLAKE2B,,,,714249.0,ns,544
bench atonce with size 1024,BLAKE2B,,,,724643.0,ns,552
bench atonce with size 1024,BLAKE2B,,,,763540.0,ns,560
bench atonce with size 1024,BLAKE2B,,,,745545.0,ns,568
bench atonce with size 1024,BLAKE2B,,,,757222.0,ns,576
bench atonce with size 1024,BLAKE2B,,,,853947.0,ns,584
bench atonce with size 1024,BLAKE2B,,,,777039.0,ns,592
bench atonce with size 1024,BLAKE2B,,,,787432.0,ns,600
bench atonce with size 1024,BLAKE2B,,,,799192.0,ns,608
bench atonce with size 1024,BLAKE2B,,,,808552.0,ns,616
bench atonce with size 1024,BLAKE2B,,,,813091.0,ns,624
bench atonce with size 1024,BLAKE2B,,,,960426.0,ns,632
