group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench atonce with size 1048576,BLAKE2B,,,,5919301.0,ns,4
bench atonce with size 1048576,BLAKE2B,,,,6044970.0,ns,4
bench atonce with size 1048576,BLAKE2B,,,,5133606.0,ns,4
bench atonce with size 1048576,BLAKE2B,,,,5229012.0,ns,4
bench atonce with size 1048576,BLAKE2B,,,,6240702.0,ns,4
bench atonce with size 1048576,BLAKE2B,,,,5413797.0,ns,4
bench atonce with size 1048576,BLAKE2B,,,,5101857.0,ns,4
bench atonce with size 1048576,BLAKE2B,,,,5314805.0,ns,4
bench atonce with size 1048576,BLAKE2B,,,,5271053.0,ns,4
bench atonce with size 1048576,BLAKE2B,,,,5180516.0,ns,4
bench atonce with size 1048576,BLAKE2B,,,,5228472.0,ns,4
bench atonce with size 1048576,BLAKE2B,,,,5097180.0,ns,4
bench atonce with size 1048576,BLAKE2B,,,,5062136.0,ns,4
bench atonce with size 1048576,BLAKE2B,,,,5132108.0,ns,4
bench atonce with size 1048576,BLAKE2B,,,,5173516.0,ns,4
bench atonce with size 1048576,BLAKE2B,,,,5060172.0,ns,4
bench atonce with size 1048576,BLAKE2B,,,,5093056.0,ns,4
bench atonce with size 1048576,BLAKE2B,,,,5186404.0,ns,4
bench atonce with size 1048576,BLAKE2B,,,,5113467.0,ns,4
bench atonce with size 1048576,BLAKE2B,,,,5098929.0,ns,4
bench atonce with size 1048576,BLAKE2B,,,,5060676.0,ns,4
bench atonce with size 1048576,BLAKE2B,,,,5324084.0,ns,4
bench atonce with size 1048576,BLAKE2B,,,,5138424.0,ns,4
bench atonce with size 1048576,BLAKE2B,,,,5164173.0,ns,4
bench atonce with size 1048576,BLAKE2B,,,,5060026.0,ns,4
bench atonce with size 1048576,BLAKE2B,,,,5168644.0,ns,4
bench atonce with size 1048576,BLAKE2B,,,,5097190.0,ns,4
bench atonce with size 1048576,BLAKE2B,,,,5060204.0,ns,4
bench atonce with size 1048576,BLAKE2B,,,,5490274.0,ns,4
bench atonce with size 1048576,BLAKE2B,,,,5079535.0,ns,4
bench atonce with size 1048576,BLAKE2B,,,,5186848.0,ns,4
bench atonce with size 1048576,BLAKE2B,,,,5063558.0,ns,4
bench atonce with size 1048576,BLAKE2B,,,,5182915.0,ns,4
bench atonce with size 1048576,BLAKE2B,,,,5066649.0,ns,4
bench atonce with size 1048576,BLAKE2B,,,,5063904.0,ns,4
bench atonce with size 1048576,BLAKE2B,,,,5061712.0,ns,4
bench atonce with size 1048576,BLAKE2B,,,,5371377.0,ns,4
bench atonce with size 1048576,BLAKE2B,,,,5095808.0,ns,4
bench atonce with size 1048576,BLAKE2B,,,,5474979.0,ns,4
bench atonce with size 1048576,BLAKE2B,,,,5060970.0,ns,4
bench atonce with size 1048576,BLAKE2B,,,,5222448.0,ns,4
bench atonce with size 1048576,BLAKE2B,,,,5327106.0,ns,4
bench atonce with size 1048576,BLAKE2B,,,,5147170.0,ns,4
bench atonce with size 1048576,BLAKE2B,,,,5060775.0,ns,4
bench atonce with size 1048576,BLAKE2B,,,,5177133.0,ns,4
bench atonce with size 1048576,BLAKE2B,,,,5102881.0,ns,4
bench atonce with size 1048576,BLAKE2B,,,,5062434.0,ns,4
bench atonce with size 1048576,BLAKE2B,,,,5102301.0,ns,4
bench atonce with size 1048576,BLAKE2B,,,,5104928.0,ns,4
bench atonce with size 1048576,BLAKE2B,,,,5161190.0,ns,4
bench atonce with size 1048576,BLAKE2B,,,,5263142.0,ns,4
bench atonce with size 1048576,BLAKE2B,,,,5102843.0,ns,4
bench atonce with size 1048576,BLAKE2B,,,,5162436.0,ns,4
bench atonce with size 1048576,BLAKE2B,,,,5060840.0,ns,4
bench atonce with size 1048576,BLAKE2B,,,,5097071.0,ns,4
bench atonce with size 1048576,BLAKE2B,,,,5175875.0,ns,4
bench atonce with size 1048576,BLAKE2B,,,,5137864.0,ns,4
bench atonce with size 1048576,BLAKE2B,,,,5214179.0,ns,4
bench atonce with size 1048576,BLAKE2B,,,,5134309.0,ns,4
bench atonce with size 1048576,BLAKE2B,,,,5060641.0,ns,4
bench atonce with size 1048576,BLAKE2B,,,,5135122.0,ns,4
bench atonce with size 1048576,BLAKE2B,,,,5171356.0,ns,4
bench atonce with size 1048576,BLAKE2B,,,,5097933.0,ns,4
bench atonce with size 1048576,BLAKE2B,,,,5115185.0,ns,4
bench atonce with size 1048576,BLAKE2B,,,,5097299.0,ns,4
bench atonce with size 1048576,BLAKE2B,,,,5095428.0,ns,4
bench atonce with size 1048576,BLAKE2B,,,,5057524.0,ns,4
bench atonce with size 1048576,BLAKE2B,,,,5095595.0,ns,4
bench atonce with size 1048576,BLAKE2B,,,,5099025.0,ns,4
bench atonce with size 1048576,BLAKE2B,,,,5148667.0,ns,4
bench atonce with size 1048576,BLAKE2B,,,,5104721.0,ns,4
