group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench atonce with size 1048576,BLAKE2S,,,,7048346.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,7541328.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6193462.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6945281.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6828962.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6218350.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6236811.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6201821.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6024515.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6189184.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6133826.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6150133.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6183944.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6035453.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6235263.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6653837.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6025450.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6215562.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6023202.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6121157.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6041514.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6024901.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6024834.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6097093.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6081765.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6026349.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6125312.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6025228.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6099940.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6144847.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6099541.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6095541.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6027500.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6064044.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6023994.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6081746.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6024997.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6138267.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6022516.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6023892.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6102825.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6099117.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6083621.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6022475.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6217070.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6024926.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6022542.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6024953.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6102429.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6176252.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6132718.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6058253.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6060214.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6079876.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6060653.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6060585.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6058811.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6060066.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6346825.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6139792.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6173652.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6134558.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6059927.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6059529.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6058705.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6061883.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6216253.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6058999.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6059778.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6081521.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6204624.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6064516.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6058963.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6060519.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6133363.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6060691.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6080970.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6219530.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6064209.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6060792.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6058167.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6060166.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6061099.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6059981.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6312199.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6148841.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6071312.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6072690.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6071474.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6156934.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6061216.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6260269.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6072423.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6090155.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6110680.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6070513.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6072987.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6180200.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6124560.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6129065.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6074250.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6109912.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6093420.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6107108.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6148855.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6071263.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6163157.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6144433.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6070450.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6208146.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6106020.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6209171.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6062246.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6604519.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6108114.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6175525.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6064663.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6059933.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6132191.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6022271.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6024729.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6130634.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6024510.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6025169.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6093298.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6023462.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6059790.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6061598.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6060723.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6059979.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6061145.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6068092.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6175807.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6388143.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6022065.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6024735.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6024452.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6022657.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6108157.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6063669.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6563370.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6146873.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6162853.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6168594.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6131984.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,7468285.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6589490.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6879346.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6592555.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6805608.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6580744.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6824207.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6470908.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,7137724.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6678110.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6589389.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6368806.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6765807.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,7735815.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6220045.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6457955.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6095888.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6115090.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6096271.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6023380.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6060817.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6129889.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6096748.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6206805.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6895797.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,7491595.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,7899091.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6854174.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6831403.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6424370.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6422504.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6488976.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6127197.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6186623.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6043425.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6024311.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6061840.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6021565.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6024179.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6203368.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6058511.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6024680.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6022433.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6024189.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6024440.0,ns,2
