group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench atonce with size 1048576,BLAKE2S,,,,6944435.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,7281772.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6359030.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6762264.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6355469.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6496313.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6020332.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6068542.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6055391.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6019751.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,5984455.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6052749.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,5984120.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6040042.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6136738.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6028253.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6025945.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,5985212.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6026148.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6139285.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6099231.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6029906.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,5985451.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6025971.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6028591.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6111880.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6028686.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6028120.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,5984197.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6406363.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6023167.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6053319.0,ns,2
