group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench atonce with size 1048576,BLAKE3_STD,,,,6242912.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,7324825.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5462922.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,6136484.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5250682.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5312304.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5801243.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5409138.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5381916.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5413021.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,6608687.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5373984.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,6335477.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5370845.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5415642.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5614585.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5347494.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5600705.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5574313.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5305760.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5344769.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5262648.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5700895.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5297589.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5438435.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5274180.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5457794.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5306160.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5410506.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5253249.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5434756.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5291519.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5261140.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5304123.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5454071.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5266904.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5264805.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5296996.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5449767.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5264170.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5300607.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5297129.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5305842.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5366499.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5263404.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5332022.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5314364.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5274074.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5265591.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5269364.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5260776.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5263866.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5298138.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5583398.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5301709.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5321943.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5377771.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5272177.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5412125.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5259613.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5298533.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5323885.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5264498.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5976903.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,7659893.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5881872.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5412245.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,6370909.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5510150.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5446499.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5432183.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5444656.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5337257.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5338082.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5264619.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5271051.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5264442.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5458628.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5265023.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5262826.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5431672.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5265725.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5374274.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5824513.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5302568.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5294025.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5257350.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5290837.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5298737.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5370699.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5294758.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5331016.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5292630.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5687010.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5293578.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5258098.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5291743.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5332454.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5254154.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5319748.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5291232.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5294344.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5258915.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5293641.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5371745.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5256394.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5335261.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5300913.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,6001541.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5315168.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5264324.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5257896.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5475198.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5296870.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5261175.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5262391.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5262230.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5262561.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5261321.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5261531.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5364722.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5265288.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5443512.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5265061.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5267377.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5264208.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5258194.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5383512.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5271743.0,ns,5
