group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench atonce with size 1048576,SHA384,,,,7844786.0,ns,3
bench atonce with size 1048576,SHA384,,,,8444902.0,ns,3
bench atonce with size 1048576,SHA384,,,,7892782.0,ns,3
bench atonce with size 1048576,SHA384,,,,7542562.0,ns,3
bench atonce with size 1048576,SHA384,,,,7274759.0,ns,3
bench atonce with size 1048576,SHA384,,,,7142084.0,ns,3
bench atonce with size 1048576,SHA384,,,,7182620.0,ns,3
bench atonce with size 1048576,SHA384,,,,7106401.0,ns,3
bench atonce with size 1048576,SHA384,,,,7100676.0,ns,3
bench atonce with size 1048576,SHA384,,,,7224468.0,ns,3
bench atonce with size 1048576,SHA384,,,,7099424.0,ns,3
bench atonce with size 1048576,SHA384,,,,7393831.0,ns,3
bench atonce with size 1048576,SHA384,,,,7099067.0,ns,3
bench atonce with size 1048576,SHA384,,,,7098973.0,ns,3
bench atonce with size 1048576,SHA384,,,,7098486.0,ns,3
bench atonce with size 1048576,SHA384,,,,7323089.0,ns,3
bench atonce with size 1048576,SHA384,,,,7168236.0,ns,3
bench atonce with size 1048576,SHA384,,,,7136633.0,ns,3
bench atonce with size 1048576,SHA384,,,,7102257.0,ns,3
bench atonce with size 1048576,SHA384,,,,7144180.0,ns,3
bench atonce with size 1048576,SHA384,,,,7196090.0,ns,3
bench atonce with size 1048576,SHA384,,,,7124725.0,ns,3
bench atonce with size 1048576,SHA384,,,,7180274.0,ns,3
bench atonce with size 1048576,SHA384,,,,7099647.0,ns,3
bench atonce with size 1048576,SHA384,,,,7137888.0,ns,3
bench atonce with size 1048576,SHA384,,,,7064108.0,ns,3
bench atonce with size 1048576,SHA384,,,,7098015.0,ns,3
bench atonce with size 1048576,SHA384,,,,7176483.0,ns,3
bench atonce with size 1048576,SHA384,,,,7098291.0,ns,3
bench atonce with size 1048576,SHA384,,,,7246043.0,ns,3
bench atonce with size 1048576,SHA384,,,,7098018.0,ns,3
bench atonce with size 1048576,SHA384,,,,7097231.0,ns,3
bench atonce with size 1048576,SHA384,,,,7098015.0,ns,3
bench atonce with size 1048576,SHA384,,,,7098520.0,ns,3
bench atonce with size 1048576,SHA384,,,,7099031.0,ns,3
bench atonce with size 1048576,SHA384,,,,7168656.0,ns,3
bench atonce with size 1048576,SHA384,,,,7096620.0,ns,3
bench atonce with size 1048576,SHA384,,,,7209687.0,ns,3
bench atonce with size 1048576,SHA384,,,,7325580.0,ns,3
bench atonce with size 1048576,SHA384,,,,7104287.0,ns,3
bench atonce with size 1048576,SHA384,,,,7101253.0,ns,3
bench atonce with size 1048576,SHA384,,,,7192674.0,ns,3
bench atonce with size 1048576,SHA384,,,,7150409.0,ns,3
bench atonce with size 1048576,SHA384,,,,7100332.0,ns,3
bench atonce with size 1048576,SHA384,,,,7285712.0,ns,3
bench atonce with size 1048576,SHA384,,,,7139397.0,ns,3
bench atonce with size 1048576,SHA384,,,,7103050.0,ns,3
bench atonce with size 1048576,SHA384,,,,7209881.0,ns,3
bench atonce with size 1048576,SHA384,,,,7344166.0,ns,3
bench atonce with size 1048576,SHA384,,,,7191229.0,ns,3
bench atonce with size 1048576,SHA384,,,,7104810.0,ns,3
bench atonce with size 1048576,SHA384,,,,7144862.0,ns,3
bench atonce with size 1048576,SHA384,,,,7104570.0,ns,3
bench atonce with size 1048576,SHA384,,,,7104413.0,ns,3
bench atonce with size 1048576,SHA384,,,,7103672.0,ns,3
bench atonce with size 1048576,SHA384,,,,7259319.0,ns,3
bench atonce with size 1048576,SHA384,,,,7108038.0,ns,3
bench atonce with size 1048576,SHA384,,,,7169257.0,ns,3
bench atonce with size 1048576,SHA384,,,,7111138.0,ns,3
bench atonce with size 1048576,SHA384,,,,8005334.0,ns,3
bench atonce with size 1048576,SHA384,,,,7918518.0,ns,3
bench atonce with size 1048576,SHA384,,,,7940092.0,ns,3
bench atonce with size 1048576,SHA384,,,,8069331.0,ns,3
bench atonce with size 1048576,SHA384,,,,7921059.0,ns,3
bench atonce with size 1048576,SHA384,,,,7772248.0,ns,3
bench atonce with size 1048576,SHA384,,,,8067548.0,ns,3
bench atonce with size 1048576,SHA384,,,,7263707.0,ns,3
bench atonce with size 1048576,SHA384,,,,7159622.0,ns,3
bench atonce with size 1048576,SHA384,,,,7116976.0,ns,3
