group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench atonce with size 32768,BLAKE3_STD,,,,5139807.0,ns,137
bench atonce with size 32768,BLAKE3_STD,,,,5338345.0,ns,137
bench atonce with size 32768,BLAKE3_STD,,,,4962805.0,ns,137
bench atonce with size 32768,BLAKE3_STD,,,,5335008.0,ns,137
bench atonce with size 32768,BLAKE3_STD,,,,5173132.0,ns,137
bench atonce with size 32768,BLAKE3_STD,,,,5009486.0,ns,137
bench atonce with size 32768,BLAKE3_STD,,,,4962894.0,ns,137
bench atonce with size 32768,BLAKE3_STD,,,,5080877.0,ns,137
bench atonce with size 32768,BLAKE3_STD,,,,5023342.0,ns,137
bench atonce with size 32768,BLAKE3_STD,,,,5403518.0,ns,137
bench atonce with size 32768,BLAKE3_STD,,,,5098840.0,ns,137
bench atonce with size 32768,BLAKE3_STD,,,,4806524.0,ns,137
bench atonce with size 32768,BLAKE3_STD,,,,5048707.0,ns,137
bench atonce with size 32768,BLAKE3_STD,,,,7044846.0,ns,137
bench atonce with size 32768,BLAKE3_STD,,,,6889062.0,ns,137
bench atonce with size 32768,BLAKE3_STD,,,,5162771.0,ns,137
bench atonce with size 32768,BLAKE3_STD,,,,4826206.0,ns,137
bench atonce with size 32768,BLAKE3_STD,,,,4883708.0,ns,137
bench atonce with size 32768,BLAKE3_STD,,,,5113574.0,ns,137
bench atonce with size 32768,BLAKE3_STD,,,,4842826.0,ns,137
bench atonce with size 32768,BLAKE3_STD,,,,5130215.0,ns,137
bench atonce with size 32768,BLAKE3_STD,,,,4668675.0,ns,137
bench atonce with size 32768,BLAKE3_STD,,,,6018136.0,ns,137
bench atonce with size 32768,BLAKE3_STD,,,,4779731.0,ns,137
bench atonce with size 32768,BLAKE3_STD,,,,4797727.0,ns,137
bench atonce with size 32768,BLAKE3_STD,,,,5269770.0,ns,137
bench atonce with size 32768,BLAKE3_STD,,,,4681856.0,ns,137
bench atonce with size 32768,BLAKE3_STD,,,,5001196.0,ns,137
bench atonce with size 32768,BLAKE3_STD,,,,5343502.0,ns,137
bench atonce with size 32768,BLAKE3_STD,,,,4783148.0,ns,137
bench atonce with size 32768,BLAKE3_STD,,,,5198360.0,ns,137
bench atonce with size 32768,BLAKE3_STD,,,,4975215.0,ns,137
bench atonce with size 32768,BLAKE3_STD,,,,5732908.0,ns,137
bench atonce with size 32768,BLAKE3_STD,,,,7483251.0,ns,137
bench atonce with size 32768,BLAKE3_STD,,,,5909915.0,ns,137
bench atonce with size 32768,BLAKE3_STD,,,,6988923.0,ns,137
bench atonce with size 32768,BLAKE3_STD,,,,6300840.0,ns,137
bench atonce with size 32768,BLAKE3_STD,,,,6612335.0,ns,137
bench atonce with size 32768,BLAKE3_STD,,,,7268685.0,ns,137
bench atonce with size 32768,BLAKE3_STD,,,,5170068.0,ns,137
bench atonce with size 32768,BLAKE3_STD,,,,5234122.0,ns,137
bench atonce with size 32768,BLAKE3_STD,,,,5348942.0,ns,137
bench atonce with size 32768,BLAKE3_STD,,,,5109161.0,ns,137
bench atonce with size 32768,BLAKE3_STD,,,,5002535.0,ns,137
bench atonce with size 32768,BLAKE3_STD,,,,5631595.0,ns,137
bench atonce with size 32768,BLAKE3_STD,,,,4921179.0,ns,137
bench atonce with size 32768,BLAKE3_STD,,,,4980663.0,ns,137
bench atonce with size 32768,BLAKE3_STD,,,,5516750.0,ns,137
bench atonce with size 32768,BLAKE3_STD,,,,4868803.0,ns,137
bench atonce with size 32768,BLAKE3_STD,,,,5031222.0,ns,137
bench atonce with size 32768,BLAKE3_STD,,,,5732263.0,ns,137
bench atonce with size 32768,BLAKE3_STD,,,,5370416.0,ns,137
bench atonce with size 32768,BLAKE3_STD,,,,5199289.0,ns,137
bench atonce with size 32768,BLAKE3_STD,,,,5855984.0,ns,137
bench atonce with size 32768,BLAKE3_STD,,,,5458675.0,ns,137
bench atonce with size 32768,BLAKE3_STD,,,,5016909.0,ns,137
bench atonce with size 32768,BLAKE3_STD,,,,5395124.0,ns,137
bench atonce with size 32768,BLAKE3_STD,,,,4760903.0,ns,137
bench atonce with size 32768,BLAKE3_STD,,,,5516731.0,ns,137
bench atonce with size 32768,BLAKE3_STD,,,,5615947.0,ns,137
bench atonce with size 32768,BLAKE3_STD,,,,5306642.0,ns,137
bench atonce with size 32768,BLAKE3_STD,,,,6237413.0,ns,137
bench atonce with size 32768,BLAKE3_STD,,,,8660472.0,ns,137
bench atonce with size 32768,BLAKE3_STD,,,,6079020.0,ns,137
bench atonce with size 32768,BLAKE3_STD,,,,8244470.0,ns,137
bench atonce with size 32768,BLAKE3_STD,,,,7670733.0,ns,137
bench atonce with size 32768,BLAKE3_STD,,,,6874406.0,ns,137
bench atonce with size 32768,BLAKE3_STD,,,,8699375.0,ns,137
bench atonce with size 32768,BLAKE3_STD,,,,5734275.0,ns,137
bench atonce with size 32768,BLAKE3_STD,,,,5580664.0,ns,137
bench atonce with size 32768,BLAKE3_STD,,,,5735848.0,ns,137
bench atonce with size 32768,BLAKE3_STD,,,,6985602.0,ns,137
bench atonce with size 32768,BLAKE3_STD,,,,6792949.0,ns,137
