group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench atonce with size 32768,SHA256,,,,5037246.0,ns,30
bench atonce with size 32768,SHA256,,,,6125659.0,ns,30
bench atonce with size 32768,SHA256,,,,5869797.0,ns,30
bench atonce with size 32768,SHA256,,,,5046732.0,ns,30
bench atonce with size 32768,SHA256,,,,5424558.0,ns,30
bench atonce with size 32768,SHA256,,,,5159637.0,ns,30
bench atonce with size 32768,SHA256,,,,4965151.0,ns,30
bench atonce with size 32768,SHA256,,,,5456220.0,ns,30
bench atonce with size 32768,SHA256,,,,5948733.0,ns,30
bench atonce with size 32768,SHA256,,,,5094230.0,ns,30
bench atonce with size 32768,SHA256,,,,5371058.0,ns,30
bench atonce with size 32768,SHA256,,,,5103837.0,ns,30
bench atonce with size 32768,SHA256,,,,4937059.0,ns,30
bench atonce with size 32768,SHA256,,,,4900408.0,ns,30
bench atonce with size 32768,SHA256,,,,5455951.0,ns,30
bench atonce with size 32768,SHA256,,,,4939406.0,ns,30
bench atonce with size 32768,SHA256,,,,4871944.0,ns,30
bench atonce with size 32768,SHA256,,,,5498335.0,ns,30
bench atonce with size 32768,SHA256,,,,4829236.0,ns,30
bench atonce with size 32768,SHA256,,,,4900204.0,ns,30
bench atonce with size 32768,SHA256,,,,5687112.0,ns,30
bench atonce with size 32768,SHA256,,,,5395711.0,ns,30
bench atonce with size 32768,SHA256,,,,4901188.0,ns,30
bench atonce with size 32768,SHA256,,,,5488505.0,ns,30
bench atonce with size 32768,SHA256,,,,4972615.0,ns,30
bench atonce with size 32768,SHA256,,,,5006367.0,ns,30
bench atonce with size 32768,SHA256,,,,5046983.0,ns,30
bench atonce with size 32768,SHA256,,,,5490348.0,ns,30
bench atonce with size 32768,SHA256,,,,4770129.0,ns,30
bench atonce with size 32768,SHA256,,,,4770525.0,ns,30
bench atonce with size 32768,SHA256,,,,5960596.0,ns,30
bench atonce with size 32768,SHA256,,,,4988429.0,ns,30
bench atonce with size 32768,SHA256,,,,4800769.0,ns,30
bench atonce with size 32768,SHA256,,,,5427405.0,ns,30
bench atonce with size 32768,SHA256,,,,4987699.0,ns,30
bench atonce with size 32768,SHA256,,,,4900886.0,ns,30
bench atonce with size 32768,SHA256,,,,5308798.0,ns,30
bench atonce with size 32768,SHA256,,,,5353695.0,ns,30
bench atonce with size 32768,SHA256,,,,4903129.0,ns,30
bench atonce with size 32768,SHA256,,,,4895342.0,ns,30
bench atonce with size 32768,SHA256,,,,5630148.0,ns,30
bench atonce with size 32768,SHA256,,,,4826997.0,ns,30
bench atonce with size 32768,SHA256,,,,5095279.0,ns,30
bench atonce with size 32768,SHA256,,,,5353141.0,ns,30
bench atonce with size 32768,SHA256,,,,4902367.0,ns,30
bench atonce with size 32768,SHA256,,,,4961414.0,ns,30
bench atonce with size 32768,SHA256,,,,5494526.0,ns,30
bench atonce with size 32768,SHA256,,,,4841735.0,ns,30
bench atonce with size 32768,SHA256,,,,4841435.0,ns,30
bench atonce with size 32768,SHA256,,,,5196186.0,ns,30
bench atonce with size 32768,SHA256,,,,5891369.0,ns,30
bench atonce with size 32768,SHA256,,,,4847881.0,ns,30
bench atonce with size 32768,SHA256,,,,4992880.0,ns,30
bench atonce with size 32768,SHA256,,,,5576792.0,ns,30
bench atonce with size 32768,SHA256,,,,4897118.0,ns,30
bench atonce with size 32768,SHA256,,,,4992581.0,ns,30
bench atonce with size 32768,SHA256,,,,5594958.0,ns,30
bench atonce with size 32768,SHA256,,,,4940554.0,ns,30
bench atonce with size 32768,SHA256,,,,5835904.0,ns,30
bench atonce with size 32768,SHA256,,,,5937609.0,ns,30
bench atonce with size 32768,SHA256,,,,5691732.0,ns,30
bench atonce with size 32768,SHA256,,,,5161708.0,ns,30
bench atonce with size 32768,SHA256,,,,5357033.0,ns,30
