group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench atonce with size 1048576,BLAKE2B,,,,5680209.0,ns,4
bench atonce with size 1048576,BLAKE2B,,,,6550757.0,ns,4
bench atonce with size 1048576,BLAKE2B,,,,5698201.0,ns,4
bench atonce with size 1048576,BLAKE2B,,,,5327576.0,ns,4
bench atonce with size 1048576,BLAKE2B,,,,5215425.0,ns,4
bench atonce with size 1048576,BLAKE2B,,,,5355542.0,ns,4
bench atonce with size 1048576,BLAKE2B,,,,5164259.0,ns,4
bench atonce with size 1048576,BLAKE2B,,,,5163889.0,ns,4
bench atonce with size 1048576,BLAKE2B,,,,5056453.0,ns,4
bench atonce with size 1048576,BLAKE2B,,,,5027794.0,ns,4
bench atonce with size 1048576,BLAKE2B,,,,5026845.0,ns,4
bench atonce with size 1048576,BLAKE2B,,,,5028945.0,ns,4
bench atonce with size 1048576,BLAKE2B,,,,5026791.0,ns,4
bench atonce with size 1048576,BLAKE2B,,,,5081962.0,ns,4
bench atonce with size 1048576,BLAKE2B,,,,5063971.0,ns,4
bench atonce with size 1048576,BLAKE2B,,,,5155144.0,ns,4
bench atonce with size 1048576,BLAKE2B,,,,5061179.0,ns,4
bench atonce with size 1048576,BLAKE2B,,,,5018459.0,ns,4
bench atonce with size 1048576,BLAKE2B,,,,5061974.0,ns,4
bench atonce with size 1048576,BLAKE2B,,,,5171529.0,ns,4
bench atonce with size 1048576,BLAKE2B,,,,5100847.0,ns,4
bench atonce with size 1048576,BLAKE2B,,,,5063930.0,ns,4
bench atonce with size 1048576,BLAKE2B,,,,5063951.0,ns,4
bench atonce with size 1048576,BLAKE2B,,,,5027573.0,ns,4
bench atonce with size 1048576,BLAKE2B,,,,5065241.0,ns,4
bench atonce with size 1048576,BLAKE2B,,,,5064224.0,ns,4
bench atonce with size 1048576,BLAKE2B,,,,5063182.0,ns,4
bench atonce with size 1048576,BLAKE2B,,,,5063602.0,ns,4
