group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench atonce with size 1048576,BLAKE2S,,,,7453827.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,7001176.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6312580.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6773529.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6418062.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6146157.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6189884.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6083536.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6099502.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6082135.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6079711.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6177207.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6080666.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6155482.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6081126.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6152539.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6180802.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6048657.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6142009.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6048067.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6045690.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6047459.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6083728.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6047322.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6122503.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6086614.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6161009.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6083090.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6134240.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6115111.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6080235.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6080340.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6137948.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6119287.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6065591.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6062957.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6150903.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6050689.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6045339.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6050259.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6045102.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6065648.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6047161.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6079831.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6046855.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6164823.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6047381.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6047221.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6081673.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6046638.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6047866.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6415711.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6246260.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6065314.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6046080.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6081491.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6190866.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6319674.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6129582.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6380243.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6051777.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6067872.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6046661.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6044867.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6232209.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,7159664.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6061103.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6326577.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6046826.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6046741.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6043693.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6008955.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6010449.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6011029.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6175318.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6010292.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6009150.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6174324.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6011152.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6009329.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6011652.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6609769.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6055111.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6152527.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6174623.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6097887.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6080689.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6078978.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6191314.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6080768.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6079162.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6144783.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6221103.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6080772.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6080568.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6079601.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6163683.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6151826.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6062523.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6055008.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6052648.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6136612.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6053420.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6065579.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6046713.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6008948.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6046564.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6137638.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6081567.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6047597.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6100269.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6010443.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6011118.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6011625.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6010784.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6045002.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6056256.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6168514.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6231249.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6046662.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6044503.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6046016.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6047453.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6078557.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6069610.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6083756.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6091794.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6046274.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6045123.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6046539.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6163512.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6120716.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6069315.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6047169.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6093890.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6122347.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6051705.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6051593.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6155293.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6191849.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6100577.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6105004.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6191802.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6112693.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6187107.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6153667.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6739641.0,ns,2
bench atonce with size 1048576,BLAKE2S,,,,6220034.0,ns,2
