group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench atonce with size 1048576,BLAKE3_STD,,,,6391791.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,7207886.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5395064.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5605477.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,6792324.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5247450.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5420486.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5490023.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5282147.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5243980.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5243333.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,6358990.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5469527.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5292851.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5885841.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5438750.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5386236.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5363941.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5251199.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5253550.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5252430.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5332970.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5722397.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5660603.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5296985.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5299479.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5254238.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5386113.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5257462.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5258861.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5259098.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5960237.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,7073277.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5587416.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5429136.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,6393544.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5495488.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5416780.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5477335.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5252541.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5295495.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5394955.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5293189.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5289507.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5291260.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5326490.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5345466.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5281567.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5284993.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5302023.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5447064.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5524776.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5986052.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5342375.0,ns,5
