group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench atonce with size 1048576,BLAKE3_STD,,,,6332865.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,6903713.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5904841.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5864912.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5289577.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5474275.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,6459908.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5879904.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5439901.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,6626088.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5428234.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5527011.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5405298.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5282852.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5286430.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5324373.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5791946.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5288293.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5558694.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5285449.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5250331.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5375545.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5322241.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5291126.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5289882.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5290640.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5285141.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5290893.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5294724.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5438667.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5290338.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5721828.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5383720.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5446363.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5433098.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5339266.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5354622.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5354259.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5332056.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5326177.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5335416.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5408250.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5441023.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5281802.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5361700.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5321989.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5241774.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5442685.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5379228.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5280455.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5279590.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5336655.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5482786.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5577183.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5243062.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5335148.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5280498.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5243917.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5318160.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5541998.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5244209.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,5587903.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,6823596.0,ns,5
bench atonce with size 1048576,BLAKE3_STD,,,,7070704.0,ns,5
