group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench atonce with size 1048576,SHA384,,,,8176092.0,ns,3
bench atonce with size 1048576,SHA384,,,,8400940.0,ns,3
bench atonce with size 1048576,SHA384,,,,7445066.0,ns,3
bench atonce with size 1048576,SHA384,,,,7323833.0,ns,3
bench atonce with size 1048576,SHA384,,,,7261540.0,ns,3
bench atonce with size 1048576,SHA384,,,,7180241.0,ns,3
bench atonce with size 1048576,SHA384,,,,7113630.0,ns,3
bench atonce with size 1048576,SHA384,,,,7277030.0,ns,3
bench atonce with size 1048576,SHA384,,,,7113346.0,ns,3
bench atonce with size 1048576,SHA384,,,,7107666.0,ns,3
bench atonce with size 1048576,SHA384,,,,7200642.0,ns,3
bench atonce with size 1048576,SHA384,,,,7233485.0,ns,3
bench atonce with size 1048576,SHA384,,,,7108788.0,ns,3
bench atonce with size 1048576,SHA384,,,,7148627.0,ns,3
bench atonce with size 1048576,SHA384,,,,7154474.0,ns,3
bench atonce with size 1048576,SHA384,,,,7192417.0,ns,3
bench atonce with size 1048576,SHA384,,,,7257644.0,ns,3
bench atonce with size 1048576,SHA384,,,,8383966.0,ns,3
bench atonce with size 1048576,SHA384,,,,8067796.0,ns,3
bench atonce with size 1048576,SHA384,,,,7345082.0,ns,3
bench atonce with size 1048576,SHA384,,,,7232014.0,ns,3
bench atonce with size 1048576,SHA384,,,,7839294.0,ns,3
bench atonce with size 1048576,SHA384,,,,7157994.0,ns,3
bench atonce with size 1048576,SHA384,,,,7156238.0,ns,3
bench atonce with size 1048576,SHA384,,,,7081518.0,ns,3
bench atonce with size 1048576,SHA384,,,,7123047.0,ns,3
bench atonce with size 1048576,SHA384,,,,7087128.0,ns,3
bench atonce with size 1048576,SHA384,,,,7122138.0,ns,3
bench atonce with size 1048576,SHA384,,,,7160201.0,ns,3
bench atonce with size 1048576,SHA384,,,,7200273.0,ns,3
bench atonce with size 1048576,SHA384,,,,7134483.0,ns,3
bench atonce with size 1048576,SHA384,,,,7179549.0,ns,3
bench atonce with size 1048576,SHA384,,,,7088612.0,ns,3
bench atonce with size 1048576,SHA384,,,,7142408.0,ns,3
bench atonce with size 1048576,SHA384,,,,7082651.0,ns,3
bench atonce with size 1048576,SHA384,,,,7231705.0,ns,3
bench atonce with size 1048576,SHA384,,,,7232881.0,ns,3
bench atonce with size 1048576,SHA384,,,,7083524.0,ns,3
bench atonce with size 1048576,SHA384,,,,7083718.0,ns,3
bench atonce with size 1048576,SHA384,,,,7223981.0,ns,3
bench atonce with size 1048576,SHA384,,,,7082323.0,ns,3
bench atonce with size 1048576,SHA384,,,,7083172.0,ns,3
bench atonce with size 1048576,SHA384,,,,7123088.0,ns,3
bench atonce with size 1048576,SHA384,,,,7156583.0,ns,3
bench atonce with size 1048576,SHA384,,,,7084822.0,ns,3
bench atonce with size 1048576,SHA384,,,,7143286.0,ns,3
bench atonce with size 1048576,SHA384,,,,7051765.0,ns,3
bench atonce with size 1048576,SHA384,,,,7049118.0,ns,3
bench atonce with size 1048576,SHA384,,,,7703407.0,ns,3
bench atonce with size 1048576,SHA384,,,,9779143.0,ns,3
bench atonce with size 1048576,SHA384,,,,7277744.0,ns,3
bench atonce with size 1048576,SHA384,,,,7293145.0,ns,3
bench atonce with size 1048576,SHA384,,,,7151150.0,ns,3
bench atonce with size 1048576,SHA384,,,,7077290.0,ns,3
bench atonce with size 1048576,SHA384,,,,7136804.0,ns,3
bench atonce with size 1048576,SHA384,,,,7080681.0,ns,3
bench atonce with size 1048576,SHA384,,,,7122332.0,ns,3
bench atonce with size 1048576,SHA384,,,,7112394.0,ns,3
bench atonce with size 1048576,SHA384,,,,7341192.0,ns,3
bench atonce with size 1048576,SHA384,,,,7079374.0,ns,3
bench atonce with size 1048576,SHA384,,,,7076615.0,ns,3
bench atonce with size 1048576,SHA384,,,,7135268.0,ns,3
bench atonce with size 1048576,SHA384,,,,7170278.0,ns,3
bench atonce with size 1048576,SHA384,,,,7187801.0,ns,3
bench atonce with size 1048576,SHA384,,,,7047607.0,ns,3
bench atonce with size 1048576,SHA384,,,,7114312.0,ns,3
bench atonce with size 1048576,SHA384,,,,7042168.0,ns,3
bench atonce with size 1048576,SHA384,,,,7779698.0,ns,3
bench atonce with size 1048576,SHA384,,,,7196585.0,ns,3
bench atonce with size 1048576,SHA384,,,,7081197.0,ns,3
bench atonce with size 1048576,SHA384,,,,7227023.0,ns,3
bench atonce with size 1048576,SHA384,,,,7116983.0,ns,3
bench atonce with size 1048576,SHA384,,,,7109069.0,ns,3
bench atonce with size 1048576,SHA384,,,,7123258.0,ns,3
bench atonce with size 1048576,SHA384,,,,7189476.0,ns,3
bench atonce with size 1048576,SHA384,,,,7092569.0,ns,3
bench atonce with size 1048576,SHA384,,,,7245477.0,ns,3
bench atonce with size 1048576,SHA384,,,,7119038.0,ns,3
bench atonce with size 1048576,SHA384,,,,7081920.0,ns,3
bench atonce with size 1048576,SHA384,,,,7082541.0,ns,3
bench atonce with size 1048576,SHA384,,,,7083000.0,ns,3
bench atonce with size 1048576,SHA384,,,,8138355.0,ns,3
bench atonce with size 1048576,SHA384,,,,7091859.0,ns,3
bench atonce with size 1048576,SHA384,,,,7175282.0,ns,3
bench atonce with size 1048576,SHA384,,,,7083025.0,ns,3
bench atonce with size 1048576,SHA384,,,,7158806.0,ns,3
bench atonce with size 1048576,SHA384,,,,7084098.0,ns,3
bench atonce with size 1048576,SHA384,,,,7195471.0,ns,3
bench atonce with size 1048576,SHA384,,,,7192333.0,ns,3
bench atonce with size 1048576,SHA384,,,,7120881.0,ns,3
bench atonce with size 1048576,SHA384,,,,7081409.0,ns,3
bench atonce with size 1048576,SHA384,,,,7245432.0,ns,3
bench atonce with size 1048576,SHA384,,,,7085364.0,ns,3
bench atonce with size 1048576,SHA384,,,,7083267.0,ns,3
bench atonce with size 1048576,SHA384,,,,7154460.0,ns,3
bench atonce with size 1048576,SHA384,,,,7082135.0,ns,3
bench atonce with size 1048576,SHA384,,,,7122591.0,ns,3
bench atonce with size 1048576,SHA384,,,,7083447.0,ns,3
bench atonce with size 1048576,SHA384,,,,7116836.0,ns,3
bench atonce with size 1048576,SHA384,,,,7081493.0,ns,3
bench atonce with size 1048576,SHA384,,,,7085583.0,ns,3
bench atonce with size 1048576,SHA384,,,,7081689.0,ns,3
bench atonce with size 1048576,SHA384,,,,7181006.0,ns,3
bench atonce with size 1048576,SHA384,,,,7236879.0,ns,3
bench atonce with size 1048576,SHA384,,,,7121192.0,ns,3
bench atonce with size 1048576,SHA384,,,,7083240.0,ns,3
bench atonce with size 1048576,SHA384,,,,7154472.0,ns,3
bench atonce with size 1048576,SHA384,,,,7119693.0,ns,3
bench atonce with size 1048576,SHA384,,,,7083421.0,ns,3
bench atonce with size 1048576,SHA384,,,,7125219.0,ns,3
bench atonce with size 1048576,SHA384,,,,7091362.0,ns,3
bench atonce with size 1048576,SHA384,,,,7089465.0,ns,3
bench atonce with size 1048576,SHA384,,,,7757030.0,ns,3
bench atonce with size 1048576,SHA384,,,,8099737.0,ns,3
bench atonce with size 1048576,SHA384,,,,7106806.0,ns,3
bench atonce with size 1048576,SHA384,,,,7125526.0,ns,3
bench atonce with size 1048576,SHA384,,,,7085669.0,ns,3
bench atonce with size 1048576,SHA384,,,,7244953.0,ns,3
bench atonce with size 1048576,SHA384,,,,7082445.0,ns,3
bench atonce with size 1048576,SHA384,,,,7221346.0,ns,3
bench atonce with size 1048576,SHA384,,,,7193853.0,ns,3
bench atonce with size 1048576,SHA384,,,,7192051.0,ns,3
bench atonce with size 1048576,SHA384,,,,7196860.0,ns,3
bench atonce with size 1048576,SHA384,,,,7086143.0,ns,3
