group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench atonce with size 2048,BLAKE2S,,,,12050.0,ns,2
bench atonce with size 2048,BLAKE2S,,,,23718.0,ns,4
bench atonce with size 2048,BLAKE2S,,,,35492.0,ns,6
bench atonce with size 2048,BLAKE2S,,,,47355.0,ns,8
bench atonce with size 2048,BLAKE2S,,,,79587.0,ns,10
bench atonce with size 2048,BLAKE2S,,,,118866.0,ns,12
bench atonce with size 2048,BLAKE2S,,,,85257.0,ns,14
bench atonce with size 2048,BLAKE2S,,,,114940.0,ns,16
bench atonce with size 2048,BLAKE2S,,,,186699.0,ns,18
bench atonce with size 2048,BLAKE2S,,,,190584.0,ns,20
bench atonce with size 2048,BLAKE2S,,,,130633.0,ns,22
bench atonce with size 2048,BLAKE2S,,,,141947.0,ns,24
bench atonce with size 2048,BLAKE2S,,,,153727.0,ns,26
bench atonce with size 2048,BLAKE2S,,,,165540.0,ns,28
bench atonce with size 2048,BLAKE2S,,,,177489.0,ns,30
bench atonce with size 2048,BLAKE2S,,,,189256.0,ns,32
bench atonce with size 2048,BLAKE2S,,,,201120.0,ns,34
bench atonce with size 2048,BLAKE2S,,,,283504.0,ns,36
bench atonce with size 2048,BLAKE2S,,,,404235.0,ns,38
bench atonce with size 2048,BLAKE2S,,,,253279.0,ns,40
bench atonce with size 2048,BLAKE2S,,,,248719.0,ns,42
bench atonce with size 2048,BLAKE2S,,,,261090.0,ns,44
bench atonce with size 2048,BLAKE2S,,,,368831.0,ns,46
bench atonce with size 2048,BLAKE2S,,,,304865.0,ns,48
bench atonce with size 2048,BLAKE2S,,,,395765.0,ns,50
bench atonce with size 2048,BLAKE2S,,,,411973.0,ns,52
bench atonce with size 2048,BLAKE2S,,,,349754.0,ns,54
bench atonce with size 2048,BLAKE2S,,,,351253.0,ns,56
bench atonce with size 2048,BLAKE2S,,,,429448.0,ns,58
bench atonce with size 2048,BLAKE2S,,,,520080.0,ns,60
bench atonce with size 2048,BLAKE2S,,,,396858.0,ns,62
bench atonce with size 2048,BLAKE2S,,,,519344.0,ns,64
bench atonce with size 2048,BLAKE2S,,,,562956.0,ns,66
bench atonce with size 2048,BLAKE2S,,,,675917.0,ns,68
bench atonce with size 2048,BLAKE2S,,,,640916.0,ns,70
bench atonce with size 2048,BLAKE2S,,,,425926.0,ns,72
bench atonce with size 2048,BLAKE2S,,,,439498.0,ns,74
bench atonce with size 2048,BLAKE2S,,,,449131.0,ns,76
bench atonce with size 2048,BLAKE2S,,,,461187.0,ns,78
bench atonce with size 2048,BLAKE2S,,,,473055.0,ns,80
