group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench atonce with size 262144,BLAKE3_STD,,,,5722935.0,ns,19
bench atonce with size 262144,BLAKE3_STD,,,,6794822.0,ns,19
bench atonce with size 262144,BLAKE3_STD,,,,6546558.0,ns,19
bench atonce with size 262144,BLAKE3_STD,,,,5453040.0,ns,19
bench atonce with size 262144,BLAKE3_STD,,,,5126758.0,ns,19
bench atonce with size 262144,BLAKE3_STD,,,,5360615.0,ns,19
bench atonce with size 262144,BLAKE3_STD,,,,5226085.0,ns,19
bench atonce with size 262144,BLAKE3_STD,,,,5135592.0,ns,19
bench atonce with size 262144,BLAKE3_STD,,,,5148904.0,ns,19
bench atonce with size 262144,BLAKE3_STD,,,,5033176.0,ns,19
bench atonce with size 262144,BLAKE3_STD,,,,5037642.0,ns,19
bench atonce with size 262144,BLAKE3_STD,,,,5033025.0,ns,19
bench atonce with size 262144,BLAKE3_STD,,,,5076590.0,ns,19
bench atonce with size 262144,BLAKE3_STD,,,,5656618.0,ns,19
bench atonce with size 262144,BLAKE3_STD,,,,5165932.0,ns,19
bench atonce with size 262144,BLAKE3_STD,,,,5019706.0,ns,19
bench atonce with size 262144,BLAKE3_STD,,,,5068321.0,ns,19
bench atonce with size 262144,BLAKE3_STD,,,,5221290.0,ns,19
bench atonce with size 262144,BLAKE3_STD,,,,4988606.0,ns,19
bench atonce with size 262144,BLAKE3_STD,,,,5604743.0,ns,19
bench atonce with size 262144,BLAKE3_STD,,,,5320970.0,ns,19
bench atonce with size 262144,BLAKE3_STD,,,,5058841.0,ns,19
bench atonce with size 262144,BLAKE3_STD,,,,4982801.0,ns,19
bench atonce with size 262144,BLAKE3_STD,,,,5186928.0,ns,19
bench atonce with size 262144,BLAKE3_STD,,,,4987325.0,ns,19
bench atonce with size 262144,BLAKE3_STD,,,,4988151.0,ns,19
bench atonce with size 262144,BLAKE3_STD,,,,4981254.0,ns,19
bench atonce with size 262144,BLAKE3_STD,,,,4985722.0,ns,19
bench atonce with size 262144,BLAKE3_STD,,,,4981151.0,ns,19
bench atonce with size 262144,BLAKE3_STD,,,,4987252.0,ns,19
bench atonce with size 262144,BLAKE3_STD,,,,5020025.0,ns,19
bench atonce with size 262144,BLAKE3_STD,,,,5027183.0,ns,19
bench atonce with size 262144,BLAKE3_STD,,,,4986918.0,ns,19
