group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench atonce with size 524288,BLAKE2B,,,,5742758.0,ns,8
bench atonce with size 524288,BLAKE2B,,,,6385913.0,ns,8
bench atonce with size 524288,BLAKE2B,,,,5735494.0,ns,8
bench atonce with size 524288,BLAKE2B,,,,5190981.0,ns,8
bench atonce with size 524288,BLAKE2B,,,,5400221.0,ns,8
bench atonce with size 524288,BLAKE2B,,,,5352083.0,ns,8
bench atonce with size 524288,BLAKE2B,,,,5227596.0,ns,8
bench atonce with size 524288,BLAKE2B,,,,5311542.0,ns,8
bench atonce with size 524288,BLAKE2B,,,,5158628.0,ns,8
bench atonce with size 524288,BLAKE2B,,,,5125839.0,ns,8
bench atonce with size 524288,BLAKE2B,,,,5053784.0,ns,8
bench atonce with size 524288,BLAKE2B,,,,5055324.0,ns,8
bench atonce with size 524288,BLAKE2B,,,,5053797.0,ns,8
bench atonce with size 524288,BLAKE2B,,,,5109107.0,ns,8
bench atonce with size 524288,BLAKE2B,,,,5179218.0,ns,8
bench atonce with size 524288,BLAKE2B,,,,5141458.0,ns,8
bench atonce with size 524288,BLAKE2B,,,,5053937.0,ns,8
bench atonce with size 524288,BLAKE2B,,,,5531017.0,ns,8
bench atonce with size 524288,BLAKE2B,,,,5514653.0,ns,8
bench atonce with size 524288,BLAKE2B,,,,5094579.0,ns,8
bench atonce with size 524288,BLAKE2B,,,,5054628.0,ns,8
bench atonce with size 524288,BLAKE2B,,,,5056558.0,ns,8
bench atonce with size 524288,BLAKE2B,,,,5054452.0,ns,8
bench atonce with size 524288,BLAKE2B,,,,5056139.0,ns,8
bench atonce with size 524288,BLAKE2B,,,,5054531.0,ns,8
bench atonce with size 524288,BLAKE2B,,,,5091542.0,ns,8
bench atonce with size 524288,BLAKE2B,,,,5291741.0,ns,8
bench atonce with size 524288,BLAKE2B,,,,5130126.0,ns,8
bench atonce with size 524288,BLAKE2B,,,,5059164.0,ns,8
bench atonce with size 524288,BLAKE2B,,,,5351178.0,ns,8
bench atonce with size 524288,BLAKE2B,,,,5089663.0,ns,8
bench atonce with size 524288,BLAKE2B,,,,5130577.0,ns,8
bench atonce with size 524288,BLAKE2B,,,,5131893.0,ns,8
bench atonce with size 524288,BLAKE2B,,,,5059299.0,ns,8
bench atonce with size 524288,BLAKE2B,,,,5227454.0,ns,8
bench atonce with size 524288,BLAKE2B,,,,5090838.0,ns,8
