group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench atonce with size 64,BLAKE2B,,,,10180.0,ns,46
bench atonce with size 64,BLAKE2B,,,,19774.0,ns,92
bench atonce with size 64,BLAKE2B,,,,29981.0,ns,138
bench atonce with size 64,BLAKE2B,,,,39425.0,ns,184
bench atonce with size 64,BLAKE2B,,,,68765.0,ns,230
bench atonce with size 64,BLAKE2B,,,,115657.0,ns,276
bench atonce with size 64,BLAKE2B,,,,84074.0,ns,322
bench atonce with size 64,BLAKE2B,,,,79842.0,ns,368
bench atonce with size 64,BLAKE2B,,,,128168.0,ns,414
bench atonce with size 64,BLAKE2B,,,,146113.0,ns,460
bench atonce with size 64,BLAKE2B,,,,191797.0,ns,506
bench atonce with size 64,BLAKE2B,,,,188340.0,ns,552
bench atonce with size 64,BLAKE2B,,,,163082.0,ns,598
bench atonce with size 64,BLAKE2B,,,,137065.0,ns,644
bench atonce with size 64,BLAKE2B,,,,146807.0,ns,690
bench atonce with size 64,BLAKE2B,,,,156677.0,ns,736
bench atonce with size 64,BLAKE2B,,,,166503.0,ns,782
bench atonce with size 64,BLAKE2B,,,,176303.0,ns,828
bench atonce with size 64,BLAKE2B,,,,257330.0,ns,874
bench atonce with size 64,BLAKE2B,,,,306057.0,ns,920
bench atonce with size 64,BLAKE2B,,,,243591.0,ns,966
bench atonce with size 64,BLAKE2B,,,,217606.0,ns,1012
bench atonce with size 64,BLAKE2B,,,,229580.0,ns,1058
bench atonce with size 64,BLAKE2B,,,,257234.0,ns,1104
bench atonce with size 64,BLAKE2B,,,,339601.0,ns,1150
bench atonce with size 64,BLAKE2B,,,,277422.0,ns,1196
bench atonce with size 64,BLAKE2B,,,,393300.0,ns,1242
bench atonce with size 64,BLAKE2B,,,,276619.0,ns,1288
bench atonce with size 64,BLAKE2B,,,,287708.0,ns,1334
bench atonce with size 64,BLAKE2B,,,,295495.0,ns,1380
bench atonce with size 64,BLAKE2B,,,,329187.0,ns,1426
bench atonce with size 64,BLAKE2B,,,,449689.0,ns,1472
bench atonce with size 64,BLAKE2B,,,,452471.0,ns,1518
bench atonce with size 64,BLAKE2B,,,,395834.0,ns,1564
bench atonce with size 64,BLAKE2B,,,,717259.0,ns,1610
bench atonce with size 64,BLAKE2B,,,,435622.0,ns,1656
bench atonce with size 64,BLAKE2B,,,,593609.0,ns,1702
bench atonce with size 64,BLAKE2B,,,,533670.0,ns,1748
bench atonce with size 64,BLAKE2B,,,,381735.0,ns,1794
