group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench atonce with size 1048576,SHA512,,,,8310076.0,ns,3
bench atonce with size 1048576,SHA512,,,,8137444.0,ns,3
bench atonce with size 1048576,SHA512,,,,7792254.0,ns,3
bench atonce with size 1048576,SHA512,,,,7337139.0,ns,3
bench atonce with size 1048576,SHA512,,,,7435764.0,ns,3
bench atonce with size 1048576,SHA512,,,,7237664.0,ns,3
bench atonce with size 1048576,SHA512,,,,7222612.0,ns,3
bench atonce with size 1048576,SHA512,,,,7140863.0,ns,3
bench atonce with size 1048576,SHA512,,,,7105969.0,ns,3
bench atonce with size 1048576,SHA512,,,,7106122.0,ns,3
bench atonce with size 1048576,SHA512,,,,7384471.0,ns,3
bench atonce with size 1048576,SHA512,,,,7482663.0,ns,3
bench atonce with size 1048576,SHA512,,,,7064307.0,ns,3
bench atonce with size 1048576,SHA512,,,,7098118.0,ns,3
bench atonce with size 1048576,SHA512,,,,7060516.0,ns,3
bench atonce with size 1048576,SHA512,,,,7274585.0,ns,3
bench atonce with size 1048576,SHA512,,,,7106411.0,ns,3
bench atonce with size 1048576,SHA512,,,,7386108.0,ns,3
bench atonce with size 1048576,SHA512,,,,7137071.0,ns,3
bench atonce with size 1048576,SHA512,,,,7136890.0,ns,3
bench atonce with size 1048576,SHA512,,,,7098012.0,ns,3
bench atonce with size 1048576,SHA512,,,,7118876.0,ns,3
bench atonce with size 1048576,SHA512,,,,7062142.0,ns,3
bench atonce with size 1048576,SHA512,,,,7117049.0,ns,3
bench atonce with size 1048576,SHA512,,,,7153413.0,ns,3
bench atonce with size 1048576,SHA512,,,,7136907.0,ns,3
bench atonce with size 1048576,SHA512,,,,7098681.0,ns,3
bench atonce with size 1048576,SHA512,,,,7061304.0,ns,3
bench atonce with size 1048576,SHA512,,,,7191846.0,ns,3
bench atonce with size 1048576,SHA512,,,,7204250.0,ns,3
bench atonce with size 1048576,SHA512,,,,7098417.0,ns,3
bench atonce with size 1048576,SHA512,,,,7292379.0,ns,3
bench atonce with size 1048576,SHA512,,,,7137404.0,ns,3
bench atonce with size 1048576,SHA512,,,,7135792.0,ns,3
bench atonce with size 1048576,SHA512,,,,7100282.0,ns,3
bench atonce with size 1048576,SHA512,,,,7183909.0,ns,3
bench atonce with size 1048576,SHA512,,,,7127141.0,ns,3
bench atonce with size 1048576,SHA512,,,,7104874.0,ns,3
bench atonce with size 1048576,SHA512,,,,7192666.0,ns,3
bench atonce with size 1048576,SHA512,,,,7546337.0,ns,3
bench atonce with size 1048576,SHA512,,,,7446823.0,ns,3
bench atonce with size 1048576,SHA512,,,,7736183.0,ns,3
bench atonce with size 1048576,SHA512,,,,7099581.0,ns,3
bench atonce with size 1048576,SHA512,,,,7099661.0,ns,3
bench atonce with size 1048576,SHA512,,,,7174516.0,ns,3
bench atonce with size 1048576,SHA512,,,,7174829.0,ns,3
bench atonce with size 1048576,SHA512,,,,7172720.0,ns,3
bench atonce with size 1048576,SHA512,,,,7136459.0,ns,3
bench atonce with size 1048576,SHA512,,,,7137987.0,ns,3
bench atonce with size 1048576,SHA512,,,,7228755.0,ns,3
bench atonce with size 1048576,SHA512,,,,7136788.0,ns,3
bench atonce with size 1048576,SHA512,,,,7100505.0,ns,3
bench atonce with size 1048576,SHA512,,,,7216677.0,ns,3
bench atonce with size 1048576,SHA512,,,,7297902.0,ns,3
bench atonce with size 1048576,SHA512,,,,7275618.0,ns,3
bench atonce with size 1048576,SHA512,,,,7176816.0,ns,3
bench atonce with size 1048576,SHA512,,,,7101550.0,ns,3
