group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench atonce with size 131072,BLAKE3_STD,,,,5828971.0,ns,38
bench atonce with size 131072,BLAKE3_STD,,,,6752900.0,ns,38
bench atonce with size 131072,BLAKE3_STD,,,,5272084.0,ns,38
bench atonce with size 131072,BLAKE3_STD,,,,5333643.0,ns,38
bench atonce with size 131072,BLAKE3_STD,,,,6283817.0,ns,38
bench atonce with size 131072,BLAKE3_STD,,,,5247592.0,ns,38
bench atonce with size 131072,BLAKE3_STD,,,,5460688.0,ns,38
bench atonce with size 131072,BLAKE3_STD,,,,5172327.0,ns,38
bench atonce with size 131072,BLAKE3_STD,,,,5332780.0,ns,38
bench atonce with size 131072,BLAKE3_STD,,,,4963084.0,ns,38
bench atonce with size 131072,BLAKE3_STD,,,,5630069.0,ns,38
bench atonce with size 131072,BLAKE3_STD,,,,5016504.0,ns,38
bench atonce with size 131072,BLAKE3_STD,,,,5022959.0,ns,38
bench atonce with size 131072,BLAKE3_STD,,,,4982624.0,ns,38
bench atonce with size 131072,BLAKE3_STD,,,,5092218.0,ns,38
bench atonce with size 131072,BLAKE3_STD,,,,5598754.0,ns,38
bench atonce with size 131072,BLAKE3_STD,,,,5408695.0,ns,38
bench atonce with size 131072,BLAKE3_STD,,,,5240617.0,ns,38
bench atonce with size 131072,BLAKE3_STD,,,,4968414.0,ns,38
bench atonce with size 131072,BLAKE3_STD,,,,4965364.0,ns,38
bench atonce with size 131072,BLAKE3_STD,,,,4962629.0,ns,38
bench atonce with size 131072,BLAKE3_STD,,,,5241161.0,ns,38
bench atonce with size 131072,BLAKE3_STD,,,,4961136.0,ns,38
bench atonce with size 131072,BLAKE3_STD,,,,5001801.0,ns,38
bench atonce with size 131072,BLAKE3_STD,,,,5138147.0,ns,38
bench atonce with size 131072,BLAKE3_STD,,,,4968568.0,ns,38
bench atonce with size 131072,BLAKE3_STD,,,,5218037.0,ns,38
bench atonce with size 131072,BLAKE3_STD,,,,5016546.0,ns,38
bench atonce with size 131072,BLAKE3_STD,,,,5347604.0,ns,38
bench atonce with size 131072,BLAKE3_STD,,,,5004085.0,ns,38
bench atonce with size 131072,BLAKE3_STD,,,,4997154.0,ns,38
bench atonce with size 131072,BLAKE3_STD,,,,5084961.0,ns,38
bench atonce with size 131072,BLAKE3_STD,,,,4964565.0,ns,38
bench atonce with size 131072,BLAKE3_STD,,,,5023994.0,ns,38
bench atonce with size 131072,BLAKE3_STD,,,,4999466.0,ns,38
bench atonce with size 131072,BLAKE3_STD,,,,5002753.0,ns,38
bench atonce with size 131072,BLAKE3_STD,,,,5056582.0,ns,38
bench atonce with size 131072,BLAKE3_STD,,,,4999923.0,ns,38
bench atonce with size 131072,BLAKE3_STD,,,,4965250.0,ns,38
bench atonce with size 131072,BLAKE3_STD,,,,5085941.0,ns,38
bench atonce with size 131072,BLAKE3_STD,,,,5064367.0,ns,38
bench atonce with size 131072,BLAKE3_STD,,,,4999852.0,ns,38
bench atonce with size 131072,BLAKE3_STD,,,,5037957.0,ns,38
bench atonce with size 131072,BLAKE3_STD,,,,4959206.0,ns,38
bench atonce with size 131072,BLAKE3_STD,,,,5023696.0,ns,38
bench atonce with size 131072,BLAKE3_STD,,,,5248410.0,ns,38
bench atonce with size 131072,BLAKE3_STD,,,,4999555.0,ns,38
bench atonce with size 131072,BLAKE3_STD,,,,5084155.0,ns,38
bench atonce with size 131072,BLAKE3_STD,,,,4965686.0,ns,38
bench atonce with size 131072,BLAKE3_STD,,,,5003556.0,ns,38
bench atonce with size 131072,BLAKE3_STD,,,,5001374.0,ns,38
bench atonce with size 131072,BLAKE3_STD,,,,4999802.0,ns,38
bench atonce with size 131072,BLAKE3_STD,,,,5001047.0,ns,38
bench atonce with size 131072,BLAKE3_STD,,,,5333721.0,ns,38
bench atonce with size 131072,BLAKE3_STD,,,,5132386.0,ns,38
bench atonce with size 131072,BLAKE3_STD,,,,5058713.0,ns,38
bench atonce with size 131072,BLAKE3_STD,,,,5048685.0,ns,38
bench atonce with size 131072,BLAKE3_STD,,,,5038442.0,ns,38
bench atonce with size 131072,BLAKE3_STD,,,,5034789.0,ns,38
bench atonce with size 131072,BLAKE3_STD,,,,5046363.0,ns,38
bench atonce with size 131072,BLAKE3_STD,,,,4958204.0,ns,38
bench atonce with size 131072,BLAKE3_STD,,,,4999215.0,ns,38
bench atonce with size 131072,BLAKE3_STD,,,,5381174.0,ns,38
bench atonce with size 131072,BLAKE3_STD,,,,6559660.0,ns,38
bench atonce with size 131072,BLAKE3_STD,,,,6156061.0,ns,38
bench atonce with size 131072,BLAKE3_STD,,,,5148678.0,ns,38
bench atonce with size 131072,BLAKE3_STD,,,,5614272.0,ns,38
bench atonce with size 131072,BLAKE3_STD,,,,5397178.0,ns,38
bench atonce with size 131072,BLAKE3_STD,,,,5006816.0,ns,38
