group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench atonce with size 16384,BLAKE2S,,,,5483122.0,ns,104
bench atonce with size 16384,BLAKE2S,,,,4863236.0,ns,104
bench atonce with size 16384,BLAKE2S,,,,5006100.0,ns,104
bench atonce with size 16384,BLAKE2S,,,,4969682.0,ns,104
bench atonce with size 16384,BLAKE2S,,,,4970698.0,ns,104
bench atonce with size 16384,BLAKE2S,,,,4897504.0,ns,104
bench atonce with size 16384,BLAKE2S,,,,5006707.0,ns,104
bench atonce with size 16384,BLAKE2S,,,,4860025.0,ns,104
bench atonce with size 16384,BLAKE2S,,,,4939047.0,ns,104
bench atonce with size 16384,BLAKE2S,,,,5042464.0,ns,104
bench atonce with size 16384,BLAKE2S,,,,4898281.0,ns,104
bench atonce with size 16384,BLAKE2S,,,,5147432.0,ns,104
bench atonce with size 16384,BLAKE2S,,,,5596743.0,ns,104
bench atonce with size 16384,BLAKE2S,,,,4860654.0,ns,104
bench atonce with size 16384,BLAKE2S,,,,5196444.0,ns,104
bench atonce with size 16384,BLAKE2S,,,,4896486.0,ns,104
bench atonce with size 16384,BLAKE2S,,,,5001454.0,ns,104
bench atonce with size 16384,BLAKE2S,,,,4902062.0,ns,104
bench atonce with size 16384,BLAKE2S,,,,4901687.0,ns,104
bench atonce with size 16384,BLAKE2S,,,,4898373.0,ns,104
bench atonce with size 16384,BLAKE2S,,,,4902413.0,ns,104
bench atonce with size 16384,BLAKE2S,,,,4958536.0,ns,104
bench atonce with size 16384,BLAKE2S,,,,5045964.0,ns,104
bench atonce with size 16384,BLAKE2S,,,,4973199.0,ns,104
bench atonce with size 16384,BLAKE2S,,,,4862371.0,ns,104
bench atonce with size 16384,BLAKE2S,,,,5112862.0,ns,104
bench atonce with size 16384,BLAKE2S,,,,4930684.0,ns,104
bench atonce with size 16384,BLAKE2S,,,,5465870.0,ns,104
bench atonce with size 16384,BLAKE2S,,,,5399804.0,ns,104
bench atonce with size 16384,BLAKE2S,,,,5033482.0,ns,104
bench atonce with size 16384,BLAKE2S,,,,5067557.0,ns,104
bench atonce with size 16384,BLAKE2S,,,,5960606.0,ns,104
bench atonce with size 16384,BLAKE2S,,,,5233999.0,ns,104
bench atonce with size 16384,BLAKE2S,,,,5059998.0,ns,104
bench atonce with size 16384,BLAKE2S,,,,5063645.0,ns,104
bench atonce with size 16384,BLAKE2S,,,,5116561.0,ns,104
bench atonce with size 16384,BLAKE2S,,,,4896457.0,ns,104
bench atonce with size 16384,BLAKE2S,,,,5010631.0,ns,104
bench atonce with size 16384,BLAKE2S,,,,5060057.0,ns,104
bench atonce with size 16384,BLAKE2S,,,,5000080.0,ns,104
bench atonce with size 16384,BLAKE2S,,,,4983577.0,ns,104
bench atonce with size 16384,BLAKE2S,,,,4985350.0,ns,104
bench atonce with size 16384,BLAKE2S,,,,4936709.0,ns,104
bench atonce with size 16384,BLAKE2S,,,,4899468.0,ns,104
bench atonce with size 16384,BLAKE2S,,,,4899656.0,ns,104
bench atonce with size 16384,BLAKE2S,,,,4899737.0,ns,104
bench atonce with size 16384,BLAKE2S,,,,4897747.0,ns,104
bench atonce with size 16384,BLAKE2S,,,,6699223.0,ns,104
bench atonce with size 16384,BLAKE2S,,,,4894700.0,ns,104
bench atonce with size 16384,BLAKE2S,,,,4997765.0,ns,104
bench atonce with size 16384,BLAKE2S,,,,5070164.0,ns,104
