group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench atonce with size 262144,BLAKE2B,,,,5671215.0,ns,16
bench atonce with size 262144,BLAKE2B,,,,6473282.0,ns,16
bench atonce with size 262144,BLAKE2B,,,,5161324.0,ns,16
bench atonce with size 262144,BLAKE2B,,,,5675862.0,ns,16
bench atonce with size 262144,BLAKE2B,,,,5257515.0,ns,16
bench atonce with size 262144,BLAKE2B,,,,5124775.0,ns,16
bench atonce with size 262144,BLAKE2B,,,,5258944.0,ns,16
bench atonce with size 262144,BLAKE2B,,,,5201560.0,ns,16
bench atonce with size 262144,BLAKE2B,,,,5191047.0,ns,16
bench atonce with size 262144,BLAKE2B,,,,5066368.0,ns,16
bench atonce with size 262144,BLAKE2B,,,,5110525.0,ns,16
bench atonce with size 262144,BLAKE2B,,,,5094291.0,ns,16
bench atonce with size 262144,BLAKE2B,,,,5063591.0,ns,16
bench atonce with size 262144,BLAKE2B,,,,5248622.0,ns,16
bench atonce with size 262144,BLAKE2B,,,,5064383.0,ns,16
bench atonce with size 262144,BLAKE2B,,,,5084387.0,ns,16
bench atonce with size 262144,BLAKE2B,,,,5551913.0,ns,16
bench atonce with size 262144,BLAKE2B,,,,5165059.0,ns,16
bench atonce with size 262144,BLAKE2B,,,,5026131.0,ns,16
bench atonce with size 262144,BLAKE2B,,,,5729543.0,ns,16
bench atonce with size 262144,BLAKE2B,,,,5162607.0,ns,16
bench atonce with size 262144,BLAKE2B,,,,5330736.0,ns,16
bench atonce with size 262144,BLAKE2B,,,,5068158.0,ns,16
bench atonce with size 262144,BLAKE2B,,,,5103887.0,ns,16
bench atonce with size 262144,BLAKE2B,,,,5025382.0,ns,16
bench atonce with size 262144,BLAKE2B,,,,5307609.0,ns,16
bench atonce with size 262144,BLAKE2B,,,,5218527.0,ns,16
bench atonce with size 262144,BLAKE2B,,,,5071302.0,ns,16
bench atonce with size 262144,BLAKE2B,,,,5067304.0,ns,16
bench atonce with size 262144,BLAKE2B,,,,5072411.0,ns,16
bench atonce with size 262144,BLAKE2B,,,,5027151.0,ns,16
bench atonce with size 262144,BLAKE2B,,,,5069644.0,ns,16
