group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench atonce with size 32768,BLAKE2B,,,,4709762.0,ns,111
bench atonce with size 32768,BLAKE2B,,,,4756679.0,ns,111
bench atonce with size 32768,BLAKE2B,,,,5325133.0,ns,111
bench atonce with size 32768,BLAKE2B,,,,5151555.0,ns,111
bench atonce with size 32768,BLAKE2B,,,,4887429.0,ns,111
bench atonce with size 32768,BLAKE2B,,,,4841193.0,ns,111
bench atonce with size 32768,BLAKE2B,,,,5041202.0,ns,111
bench atonce with size 32768,BLAKE2B,,,,4570559.0,ns,111
bench atonce with size 32768,BLAKE2B,,,,5072437.0,ns,111
bench atonce with size 32768,BLAKE2B,,,,5544434.0,ns,111
bench atonce with size 32768,BLAKE2B,,,,4506940.0,ns,111
bench atonce with size 32768,BLAKE2B,,,,4458647.0,ns,111
bench atonce with size 32768,BLAKE2B,,,,4644579.0,ns,111
bench atonce with size 32768,BLAKE2B,,,,4979861.0,ns,111
bench atonce with size 32768,BLAKE2B,,,,4461978.0,ns,111
bench atonce with size 32768,BLAKE2B,,,,4641057.0,ns,111
bench atonce with size 32768,BLAKE2B,,,,4868811.0,ns,111
bench atonce with size 32768,BLAKE2B,,,,4496271.0,ns,111
bench atonce with size 32768,BLAKE2B,,,,4640859.0,ns,111
bench atonce with size 32768,BLAKE2B,,,,4640702.0,ns,111
bench atonce with size 32768,BLAKE2B,,,,4992826.0,ns,111
bench atonce with size 32768,BLAKE2B,,,,4755114.0,ns,111
bench atonce with size 32768,BLAKE2B,,,,4766837.0,ns,111
bench atonce with size 32768,BLAKE2B,,,,4829535.0,ns,111
bench atonce with size 32768,BLAKE2B,,,,4459038.0,ns,111
bench atonce with size 32768,BLAKE2B,,,,4506996.0,ns,111
bench atonce with size 32768,BLAKE2B,,,,5025517.0,ns,111
bench atonce with size 32768,BLAKE2B,,,,4881431.0,ns,111
bench atonce with size 32768,BLAKE2B,,,,4460438.0,ns,111
bench atonce with size 32768,BLAKE2B,,,,4452283.0,ns,111
bench atonce with size 32768,BLAKE2B,,,,5353857.0,ns,111
bench atonce with size 32768,BLAKE2B,,,,4438717.0,ns,111
bench atonce with size 32768,BLAKE2B,,,,4527344.0,ns,111
bench atonce with size 32768,BLAKE2B,,,,4632481.0,ns,111
bench atonce with size 32768,BLAKE2B,,,,4913291.0,ns,111
bench atonce with size 32768,BLAKE2B,,,,4455113.0,ns,111
bench atonce with size 32768,BLAKE2B,,,,4541033.0,ns,111
bench atonce with size 32768,BLAKE2B,,,,5037087.0,ns,111
bench atonce with size 32768,BLAKE2B,,,,4629783.0,ns,111
bench atonce with size 32768,BLAKE2B,,,,4485884.0,ns,111
bench atonce with size 32768,BLAKE2B,,,,4767964.0,ns,111
bench atonce with size 32768,BLAKE2B,,,,5274212.0,ns,111
bench atonce with size 32768,BLAKE2B,,,,5048071.0,ns,111
bench atonce with size 32768,BLAKE2B,,,,4586781.0,ns,111
bench atonce with size 32768,BLAKE2B,,,,5094967.0,ns,111
bench atonce with size 32768,BLAKE2B,,,,4499536.0,ns,111
bench atonce with size 32768,BLAKE2B,,,,4900843.0,ns,111
bench atonce with size 32768,BLAKE2B,,,,4764501.0,ns,111
bench atonce with size 32768,BLAKE2B,,,,5458028.0,ns,111
bench atonce with size 32768,BLAKE2B,,,,4457644.0,ns,111
