group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench atonce with size 4096,BLAKE2S,,,,28013.0,ns,1
bench atonce with size 4096,BLAKE2S,,,,43974.0,ns,2
bench atonce with size 4096,BLAKE2S,,,,36406.0,ns,3
bench atonce with size 4096,BLAKE2S,,,,68948.0,ns,4
bench atonce with size 4096,BLAKE2S,,,,78434.0,ns,5
bench atonce with size 4096,BLAKE2S,,,,73089.0,ns,6
bench atonce with size 4096,BLAKE2S,,,,85436.0,ns,7
bench atonce with size 4096,BLAKE2S,,,,128779.0,ns,8
bench atonce with size 4096,BLAKE2S,,,,142176.0,ns,9
bench atonce with size 4096,BLAKE2S,,,,121797.0,ns,10
bench atonce with size 4096,BLAKE2S,,,,148015.0,ns,11
bench atonce with size 4096,BLAKE2S,,,,141232.0,ns,12
bench atonce with size 4096,BLAKE2S,,,,153114.0,ns,13
bench atonce with size 4096,BLAKE2S,,,,164734.0,ns,14
bench atonce with size 4096,BLAKE2S,,,,176590.0,ns,15
bench atonce with size 4096,BLAKE2S,,,,188338.0,ns,16
bench atonce with size 4096,BLAKE2S,,,,220207.0,ns,17
bench atonce with size 4096,BLAKE2S,,,,288112.0,ns,18
bench atonce with size 4096,BLAKE2S,,,,288135.0,ns,19
bench atonce with size 4096,BLAKE2S,,,,243566.0,ns,20
bench atonce with size 4096,BLAKE2S,,,,296804.0,ns,21
bench atonce with size 4096,BLAKE2S,,,,441097.0,ns,22
bench atonce with size 4096,BLAKE2S,,,,358047.0,ns,23
bench atonce with size 4096,BLAKE2S,,,,433795.0,ns,24
bench atonce with size 4096,BLAKE2S,,,,464341.0,ns,25
bench atonce with size 4096,BLAKE2S,,,,491840.0,ns,26
bench atonce with size 4096,BLAKE2S,,,,500816.0,ns,27
bench atonce with size 4096,BLAKE2S,,,,482419.0,ns,28
bench atonce with size 4096,BLAKE2S,,,,393979.0,ns,29
bench atonce with size 4096,BLAKE2S,,,,415198.0,ns,30
bench atonce with size 4096,BLAKE2S,,,,463018.0,ns,31
bench atonce with size 4096,BLAKE2S,,,,496553.0,ns,32
bench atonce with size 4096,BLAKE2S,,,,589368.0,ns,33
bench atonce with size 4096,BLAKE2S,,,,532694.0,ns,34
bench atonce with size 4096,BLAKE2S,,,,569470.0,ns,35
bench atonce with size 4096,BLAKE2S,,,,641070.0,ns,36
bench atonce with size 4096,BLAKE2S,,,,586560.0,ns,37
bench atonce with size 4096,BLAKE2S,,,,534817.0,ns,38
bench atonce with size 4096,BLAKE2S,,,,507363.0,ns,39
bench atonce with size 4096,BLAKE2S,,,,563294.0,ns,40
bench atonce with size 4096,BLAKE2S,,,,497298.0,ns,41
bench atonce with size 4096,BLAKE2S,,,,507124.0,ns,42
bench atonce with size 4096,BLAKE2S,,,,519458.0,ns,43
bench atonce with size 4096,BLAKE2S,,,,566517.0,ns,44
bench atonce with size 4096,BLAKE2S,,,,543545.0,ns,45
bench atonce with size 4096,BLAKE2S,,,,555723.0,ns,46
bench atonce with size 4096,BLAKE2S,,,,567321.0,ns,47
bench atonce with size 4096,BLAKE2S,,,,616321.0,ns,48
bench atonce with size 4096,BLAKE2S,,,,593455.0,ns,49
bench atonce with size 4096,BLAKE2S,,,,603333.0,ns,50
bench atonce with size 4096,BLAKE2S,,,,615679.0,ns,51
bench atonce with size 4096,BLAKE2S,,,,627911.0,ns,52
bench atonce with size 4096,BLAKE2S,,,,640062.0,ns,53
bench atonce with size 4096,BLAKE2S,,,,652159.0,ns,54
bench atonce with size 4096,BLAKE2S,,,,663913.0,ns,55
bench atonce with size 4096,BLAKE2S,,,,705065.0,ns,56
bench atonce with size 4096,BLAKE2S,,,,688280.0,ns,57
bench atonce with size 4096,BLAKE2S,,,,700584.0,ns,58
bench atonce with size 4096,BLAKE2S,,,,712558.0,ns,59
bench atonce with size 4096,BLAKE2S,,,,724465.0,ns,60
bench atonce with size 4096,BLAKE2S,,,,779868.0,ns,61
bench atonce with size 4096,BLAKE2S,,,,753610.0,ns,62
bench atonce with size 4096,BLAKE2S,,,,853770.0,ns,63
bench atonce with size 4096,BLAKE2S,,,,1057211.0,ns,64
bench atonce with size 4096,BLAKE2S,,,,923474.0,ns,65
bench atonce with size 4096,BLAKE2S,,,,827233.0,ns,66
bench atonce with size 4096,BLAKE2S,,,,809233.0,ns,67
bench atonce with size 4096,BLAKE2S,,,,821196.0,ns,68
bench atonce with size 4096,BLAKE2S,,,,833279.0,ns,69
bench atonce with size 4096,BLAKE2S,,,,846771.0,ns,70
bench atonce with size 4096,BLAKE2S,,,,1006103.0,ns,71
bench atonce with size 4096,BLAKE2S,,,,869393.0,ns,72
bench atonce with size 4096,BLAKE2S,,,,917889.0,ns,73
bench atonce with size 4096,BLAKE2S,,,,893358.0,ns,74
bench atonce with size 4096,BLAKE2S,,,,906983.0,ns,75
bench atonce with size 4096,BLAKE2S,,,,917525.0,ns,76
bench atonce with size 4096,BLAKE2S,,,,931818.0,ns,77
bench atonce with size 4096,BLAKE2S,,,,942281.0,ns,78
bench atonce with size 4096,BLAKE2S,,,,954018.0,ns,79
bench atonce with size 4096,BLAKE2S,,,,965975.0,ns,80
bench atonce with size 4096,BLAKE2S,,,,1006672.0,ns,81
bench atonce with size 4096,BLAKE2S,,,,990102.0,ns,82
bench atonce with size 4096,BLAKE2S,,,,1099032.0,ns,83
bench atonce with size 4096,BLAKE2S,,,,1069789.0,ns,84
bench atonce with size 4096,BLAKE2S,,,,1026120.0,ns,85
bench atonce with size 4096,BLAKE2S,,,,1038583.0,ns,86
bench atonce with size 4096,BLAKE2S,,,,1050711.0,ns,87
