group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
bench atonce with size 524288,SHA512,,,,6695170.0,ns,5
bench atonce with size 524288,SHA512,,,,6839785.0,ns,5
bench atonce with size 524288,SHA512,,,,6255392.0,ns,5
bench atonce with size 524288,SHA512,,,,6679203.0,ns,5
bench atonce with size 524288,SHA512,,,,6054864.0,ns,5
bench atonce with size 524288,SHA512,,,,6162284.0,ns,5
bench atonce with size 524288,SHA512,,,,6172475.0,ns,5
bench atonce with size 524288,SHA512,,,,6003427.0,ns,5
bench atonce with size 524288,SHA512,,,,6036559.0,ns,5
bench atonce with size 524288,SHA512,,,,5932815.0,ns,5
bench atonce with size 524288,SHA512,,,,6043927.0,ns,5
bench atonce with size 524288,SHA512,,,,5891946.0,ns,5
bench atonce with size 524288,SHA512,,,,6019745.0,ns,5
bench atonce with size 524288,SHA512,,,,6131236.0,ns,5
bench atonce with size 524288,SHA512,,,,6074764.0,ns,5
bench atonce with size 524288,SHA512,,,,5910728.0,ns,5
bench atonce with size 524288,SHA512,,,,5869027.0,ns,5
bench atonce with size 524288,SHA512,,,,5943286.0,ns,5
bench atonce with size 524288,SHA512,,,,6016215.0,ns,5
bench atonce with size 524288,SHA512,,,,5976775.0,ns,5
bench atonce with size 524288,SHA512,,,,6678382.0,ns,5
bench atonce with size 524288,SHA512,,,,6345851.0,ns,5
bench atonce with size 524288,SHA512,,,,5968500.0,ns,5
bench atonce with size 524288,SHA512,,,,6029692.0,ns,5
bench atonce with size 524288,SHA512,,,,5904868.0,ns,5
bench atonce with size 524288,SHA512,,,,6575184.0,ns,5
bench atonce with size 524288,SHA512,,,,5907510.0,ns,5
bench atonce with size 524288,SHA512,,,,5906035.0,ns,5
bench atonce with size 524288,SHA512,,,,5870552.0,ns,5
bench atonce with size 524288,SHA512,,,,6027056.0,ns,5
bench atonce with size 524288,SHA512,,,,6106389.0,ns,5
bench atonce with size 524288,SHA512,,,,5862182.0,ns,5
bench atonce with size 524288,SHA512,,,,5904877.0,ns,5
bench atonce with size 524288,SHA512,,,,6566934.0,ns,5
bench atonce with size 524288,SHA512,,,,6447204.0,ns,5
bench atonce with size 524288,SHA512,,,,6185716.0,ns,5
bench atonce with size 524288,SHA512,,,,6424883.0,ns,5
bench atonce with size 524288,SHA512,,,,6099408.0,ns,5
bench atonce with size 524288,SHA512,,,,6084118.0,ns,5
bench atonce with size 524288,SHA512,,,,6023019.0,ns,5
bench atonce with size 524288,SHA512,,,,6281091.0,ns,5
bench atonce with size 524288,SHA512,,,,6455336.0,ns,5
bench atonce with size 524288,SHA512,,,,6256025.0,ns,5
bench atonce with size 524288,SHA512,,,,6023463.0,ns,5
bench atonce with size 524288,SHA512,,,,6001318.0,ns,5
bench atonce with size 524288,SHA512,,,,6236006.0,ns,5
bench atonce with size 524288,SHA512,,,,6083768.0,ns,5
bench atonce with size 524288,SHA512,,,,6259171.0,ns,5
bench atonce with size 524288,SHA512,,,,6172051.0,ns,5
bench atonce with size 524288,SHA512,,,,6262980.0,ns,5
bench atonce with size 524288,SHA512,,,,6196887.0,ns,5
bench atonce with size 524288,SHA512,,,,6399351.0,ns,5
bench atonce with size 524288,SHA512,,,,6265294.0,ns,5
bench atonce with size 524288,SHA512,,,,6141901.0,ns,5
bench atonce with size 524288,SHA512,,,,6117455.0,ns,5
bench atonce with size 524288,SHA512,,,,6263314.0,ns,5
bench atonce with size 524288,SHA512,,,,5963398.0,ns,5
bench atonce with size 524288,SHA512,,,,6211100.0,ns,5
bench atonce with size 524288,SHA512,,,,5914981.0,ns,5
bench atonce with size 524288,SHA512,,,,5909147.0,ns,5
bench atonce with size 524288,SHA512,,,,5905956.0,ns,5
bench atonce with size 524288,SHA512,,,,5963031.0,ns,5
bench atonce with size 524288,SHA512,,,,5942592.0,ns,5
bench atonce with size 524288,SHA512,,,,6313536.0,ns,5
bench atonce with size 524288,SHA512,,,,5906604.0,ns,5
bench atonce with size 524288,SHA512,,,,5905480.0,ns,5
bench atonce with size 524288,SHA512,,,,6357640.0,ns,5
bench atonce with size 524288,SHA512,,,,5904841.0,ns,5
bench atonce with size 524288,SHA512,,,,5907377.0,ns,5
bench atonce with size 524288,SHA512,,,,5909298.0,ns,5
bench atonce with size 524288,SHA512,,,,6101599.0,ns,5
bench atonce with size 524288,SHA512,,,,6007696.0,ns,5
bench atonce with size 524288,SHA512,,,,5928025.0,ns,5
bench atonce with size 524288,SHA512,,,,6078837.0,ns,5
bench atonce with size 524288,SHA512,,,,6420709.0,ns,5
bench atonce with size 524288,SHA512,,,,5944819.0,ns,5
bench atonce with size 524288,SHA512,,,,5944496.0,ns,5
bench atonce with size 524288,SHA512,,,,5979955.0,ns,5
bench atonce with size 524288,SHA512,,,,6066856.0,ns,5
bench atonce with size 524288,SHA512,,,,5947205.0,ns,5
bench atonce with size 524288,SHA512,,,,6003102.0,ns,5
bench atonce with size 524288,SHA512,,,,5912560.0,ns,5
bench atonce with size 524288,SHA512,,,,6029006.0,ns,5
bench atonce with size 524288,SHA512,,,,5913565.0,ns,5
bench atonce with size 524288,SHA512,,,,5914311.0,ns,5
bench atonce with size 524288,SHA512,,,,5906596.0,ns,5
bench atonce with size 524288,SHA512,,,,5909697.0,ns,5
bench atonce with size 524288,SHA512,,,,5949622.0,ns,5
bench atonce with size 524288,SHA512,,,,6118589.0,ns,5
bench atonce with size 524288,SHA512,,,,6029092.0,ns,5
bench atonce with size 524288,SHA512,,,,5873038.0,ns,5
bench atonce with size 524288,SHA512,,,,5914516.0,ns,5
bench atonce with size 524288,SHA512,,,,5987489.0,ns,5
bench atonce with size 524288,SHA512,,,,5912435.0,ns,5
bench atonce with size 524288,SHA512,,,,5907673.0,ns,5
bench atonce with size 524288,SHA512,,,,5914111.0,ns,5
bench atonce with size 524288,SHA512,,,,5937548.0,ns,5
bench atonce with size 524288,SHA512,,,,5906113.0,ns,5
bench atonce with size 524288,SHA512,,,,6006176.0,ns,5
bench atonce with size 524288,SHA512,,,,5949242.0,ns,5
bench atonce with size 524288,SHA512,,,,5988571.0,ns,5
bench atonce with size 524288,SHA512,,,,5988761.0,ns,5
bench atonce with size 524288,SHA512,,,,5904349.0,ns,5
bench atonce with size 524288,SHA512,,,,5905689.0,ns,5
bench atonce with size 524288,SHA512,,,,5915547.0,ns,5
bench atonce with size 524288,SHA512,,,,5907008.0,ns,5
bench atonce with size 524288,SHA512,,,,5961728.0,ns,5
bench atonce with size 524288,SHA512,,,,5912400.0,ns,5
bench atonce with size 524288,SHA512,,,,6016549.0,ns,5
bench atonce with size 524288,SHA512,,,,5911074.0,ns,5
bench atonce with size 524288,SHA512,,,,5958205.0,ns,5
bench atonce with size 524288,SHA512,,,,5932094.0,ns,5
bench atonce with size 524288,SHA512,,,,5987796.0,ns,5
bench atonce with size 524288,SHA512,,,,6071277.0,ns,5
bench atonce with size 524288,SHA512,,,,6218637.0,ns,5
bench atonce with size 524288,SHA512,,,,5973430.0,ns,5
bench atonce with size 524288,SHA512,,,,5900026.0,ns,5
bench atonce with size 524288,SHA512,,,,5938319.0,ns,5
bench atonce with size 524288,SHA512,,,,5900976.0,ns,5
bench atonce with size 524288,SHA512,,,,5899533.0,ns,5
bench atonce with size 524288,SHA512,,,,5900346.0,ns,5
bench atonce with size 524288,SHA512,,,,6086647.0,ns,5
bench atonce with size 524288,SHA512,,,,5903162.0,ns,5
bench atonce with size 524288,SHA512,,,,5901998.0,ns,5
bench atonce with size 524288,SHA512,,,,5935350.0,ns,5
bench atonce with size 524288,SHA512,,,,5902456.0,ns,5
bench atonce with size 524288,SHA512,,,,5899045.0,ns,5
bench atonce with size 524288,SHA512,,,,5902689.0,ns,5
bench atonce with size 524288,SHA512,,,,5900492.0,ns,5
bench atonce with size 524288,SHA512,,,,5862435.0,ns,5
bench atonce with size 524288,SHA512,,,,6090691.0,ns,5
bench atonce with size 524288,SHA512,,,,5900052.0,ns,5
bench atonce with size 524288,SHA512,,,,5924164.0,ns,5
bench atonce with size 524288,SHA512,,,,5937899.0,ns,5
bench atonce with size 524288,SHA512,,,,5992279.0,ns,5
bench atonce with size 524288,SHA512,,,,5901073.0,ns,5
bench atonce with size 524288,SHA512,,,,5899362.0,ns,5
bench atonce with size 524288,SHA512,,,,5899675.0,ns,5
bench atonce with size 524288,SHA512,,,,5899114.0,ns,5
bench atonce with size 524288,SHA512,,,,5902468.0,ns,5
bench atonce with size 524288,SHA512,,,,5939519.0,ns,5
bench atonce with size 524288,SHA512,,,,5900877.0,ns,5
bench atonce with size 524288,SHA512,,,,5902768.0,ns,5
bench atonce with size 524288,SHA512,,,,6090044.0,ns,5
bench atonce with size 524288,SHA512,,,,7359374.0,ns,5
bench atonce with size 524288,SHA512,,,,6152896.0,ns,5
bench atonce with size 524288,SHA512,,,,5948131.0,ns,5
bench atonce with size 524288,SHA512,,,,5902424.0,ns,5
bench atonce with size 524288,SHA512,,,,5902242.0,ns,5
bench atonce with size 524288,SHA512,,,,6087982.0,ns,5
bench atonce with size 524288,SHA512,,,,5947282.0,ns,5
bench atonce with size 524288,SHA512,,,,5921059.0,ns,5
bench atonce with size 524288,SHA512,,,,6444369.0,ns,5
bench atonce with size 524288,SHA512,,,,6056790.0,ns,5
bench atonce with size 524288,SHA512,,,,5903010.0,ns,5
bench atonce with size 524288,SHA512,,,,6033602.0,ns,5
